category,location,name,website,phone,address,rating,emails
real estate agents,mumbai,Wave Property -Real Estate Agency & Consultants Mumbai | Luxury Homes Andheri In Mumbai,https://www.waveproperty.in/,,"Shop no 1,Fatima Building ,Near Markaj Masjid,S.V Road, Road, 16th Rd",4.9,
real estate agents,mumbai,Walk 2 Dreams Home LLP - The Real Estate Agency In Mumbai.,https://walk2dreamshomellp.com/,099200 48811,"1st Floor Office No. 18, Shreeji Plaza",5.0,
real estate agents,mumbai,Nivom Realty | Real Estate Agency In Mumbai,https://nivomrealty.com/,098049 80980,"Shop No. 27, ground Floor, J 2 building",4.8,
real estate agents,mumbai,Happy Homes - Mr. D Mehta Property Consultants & Brokers in Vile Parle Juhu,,099302 07780,"Unit no 1, florich apt, passage road",4.9,
real estate agents,mumbai,Dream Properties,http://dreamhouseproperties.in/,095944 95942,"G4/G5 , Kalamandir, Off, Nehru Rd, behind dubashi playground, near petrol pump",4.8,dreamhouseproperties007@gmail.com
real estate agents,mumbai,"A and Z Realtors® Mindspace ,Malad west - best real estate property consultancy in Mumbai",https://azrealtors.in/,099876 20584,"Office No 48, Ground Floor, 5RHP+JF8 Evershine Mall, New Link Rd",4.9,azrealtor25@gmail.com
real estate agents,mumbai,Dattasindhu Real Estate,https://www.instagram.com/dattasindhurealestate_06?igsh=YXBnNHEweWw0bHJn,,"Ground Floor, big Tirumala medical, Jambori Maidan, Worli Bdd Chawl, 76, BW MARG",5.0,
real estate agents,mumbai,Real Estate Consultant - Abbas Ali Arif,https://bio.link/abbasaliarif,090223 28752,"7th floor, office, Navjivan commercial premises society, 21, Lamington Rd, opposite Vodafone Gallery",4.9,
real estate agents,mumbai,SHIVOM REAL ESTATE AGENCY,https://shivomrealestate.bio.link/,,"Room.12,chawl No.1, east, Shell Colony Rd, near Tilak Nagar Railway Station Road",4.9,
real estate agents,mumbai,Flying Horse International(Real Estate Service),https://www.flyinghi.in/,073046 06087,"Ground Floor, Sharda Chamber, Office no G-4, Plot No 31, Keshavji Naik Rd, near Fountain",4.9,info@flyinghi.in
real estate agents,mumbai,"True Space Advisory, Rachit Vora- Top And Best Real Estate Agents/ Brokers in Mumbai",http://www.truespace.co.in/,073030 30455,"Office no.1, Shatrunjaygiri",4.9,
real estate agents,mumbai,Lotekar Realtors Pvt. Ltd. - Real Estate Expert,https://lotekarrealtors.com/,099670 63548,"Astor Place Building, Shop No. 15, Charkop Chetan Chs Ltd, Plot No. 235, 90 Feet Rd, opp. Bhavishya Nidhi Bhvan",4.9,lotekarrealtors@gmail.com
